"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1911931622259400835","Mon Apr 14 23:56:35 +0000 2025","0","spoiler #Jumbo without context . . . keren bgt industri animasi Indonesia udh di tahap ini. Cerita sedikit pas nonton film ini tau tweet bang ryan jadi kerasa dalam banget film ini. . semoga batin Bang @Adriandhy serta crew film yang mengalami kehilangan terobati rindunya https://t.co/Tj0J0AL1Le","1911931622259400835","https://pbs.twimg.com/media/GoiLq_mXsAENmIv.jpg","","in","","0","0","0","https://x.com/isalisalan/status/1911931622259400835","66256166","isalisalan"
"1911931320328212873","Mon Apr 14 23:55:50 +0000 2025","0","Bener2 film Jumbo makin dikenal makin ada aja alesan dr pihak luar e","1911931434060882266","","ruthselmasc","in","Indonesia","0","0","0","https://x.com/ruthselmasc/status/1911931434060882266","343916370","ruthselmasc"
"1911931101058400270","Mon Apr 14 23:54:31 +0000 2025","0","Orang indo nonton jumbo bawa2 agama aja udah aneh... Kenapa sih gitu doang ga bisa bedain fiksi sama non fiksi? Lu cari tontonan religi ya coba di film lain.","1911931101058400270","","","in","meltedcupid's heart","0","1","0","https://x.com/whnmood/status/1911931101058400270","3233002961","whnmood"
"1911931039498555697","Mon Apr 14 23:54:16 +0000 2025","12","Ketika ada film mengalami ledakan jumlah penonton saat itulah bioskop-bioskop kecil di kabupaten memperpanjang napas. Jumbo di Temanggung rameee @Adriandhy","1911931039498555697","","","in","Temanggung, Indonesia","0","1","3","https://x.com/idabizars/status/1911931039498555697","231672690","idabizars"
"1911630495307448695","Mon Apr 14 23:48:48 +0000 2025","12","@ARSIPAJA MENGAPA KITA MERAYAKAN JUMBO DIBANDING FILM HOROR DENGAN PENCAPAIAN PENONTON YANG SAMA? Karena bikin film animasi butuh waktu bertahun-tahun dengan biaya jumbo dan tentunya jalan ini tak bakal ditempuh so-called producer/production house yang sekedar bikin film untuk cari cuan ","1911929663074812086","","ARSIPAJA","in","Jakarta Selatan","0","0","0","https://x.com/persadaichwan/status/1911929663074812086","1448411745534373894","persadaichwan"
"1911773743254233274","Mon Apr 14 23:46:53 +0000 2025","0","@ikanatassa Banyak. Salah satunya gerakan sebagai film animasi lokal yg digarap dengan proper selain itu film animasi di Indonesia terhitung jarang sehingga menjadikan Jumbo fresh ditambah WOM serta Buzzer gratisan yg membuat promosi jumbo mulus sampai ke orang orang yg sebelumnya gak tau.","1911929180251656626","","ikanatassa","in","Springfields","0","0","0","https://x.com/redcinemas21/status/1911929180251656626","1400665607511560192","redcinemas21"
"1911718271965155766","Mon Apr 14 23:44:26 +0000 2025","0","@ijb0lism @HabisNontonFilm Yang jago promosi tuh KKN desa penari Pabrik Gula. Karena udah rame sebelum film tayang. Nah jumbo ini rame justruk setelah film tayang banyak yang abis nonton kasih review. Banyak yang ga niat nonton jadi nonton karena liat saudara/temen nya.","1911928564196528596","","ijb0lism","in","Indonesia","0","0","1","https://x.com/mashalwi/status/1911928564196528596","1087204822594445313","mashalwi"
"1911803233426952262","Mon Apr 14 23:42:35 +0000 2025","3","@Jesseff777 @coorneye @txtdarijasputih Yuk kita nobar bareng film Jumbo di bioskop ","1911928099392168300","","Jesseff777","in","","0","1","0","https://x.com/CooperAlKatiri/status/1911928099392168300","286506218","CooperAlKatiri"
"1911736275305963594","Mon Apr 14 23:40:49 +0000 2025","0","@tanyakanrl Bener sih sutradaranya emang pernah ngelakuin ritual buat film Jumbo. Ritual berdoa di depan Ka'bah ","1911927654527508499","","tanyakanrl","in","","0","0","0","https://x.com/Chiiewiee/status/1911927654527508499","1511726110723112963","Chiiewiee"
"1911786682460127237","Mon Apr 14 23:38:59 +0000 2025","0","@ccyeoni ak gatau film jumbo tu apa ay","1911927192638116102","","ccyeoni","in","Kucing Pedas Manis","0","1","0","https://x.com/jeminaiprott/status/1911927192638116102","1545469650447659009","jeminaiprott"
"1911736275305963594","Mon Apr 14 23:35:18 +0000 2025","0","@tanyakanrl selama nonton film jumbo gua ga pernah kepikiran ke arah pesugihan samsek anjirrrrr emang dianya ajaaaa yg negatif pikirannya iww","1911926267139817918","","tanyakanrl","in","","0","0","0","https://x.com/egiigegi/status/1911926267139817918","1142208292225028096","egiigegi"
"1911601250090832077","Mon Apr 14 23:34:46 +0000 2025","35","@mestyariotedjo Kalau anak nya cuma fokus ke visual kalo dikasih tontonan yg kental unsur fantasy nya kaya film disney ya gpp ditonton aja seru kok film nya. Kecuali anak nya udah punya pemikiran yg lebih kritis Jumbo termasuk film yg punya plot dan konflik nya agak berat buat dinalar anak ","1911926133567922412","","mestyariotedjo","in","Bandung","1","1","0","https://x.com/glittrwish/status/1911926133567922412","1354391246","glittrwish"
"1911925375040635152","Mon Apr 14 23:31:45 +0000 2025","0","timing perilisan itu juga ngaruh banget sih. lebaran tahun ini lumayan panjang hari liburnya trus bulan april setelah lebaran jg ada beberapa tanggal merah jejer sama weekend. sampe bulan depan. dan jumbo ga ada saingan film luar yg segmennya buat anak² &amp; remaja. smooooth!","1911925375040635152","","","in","Kerberos 🜃⚓","0","0","0","https://x.com/sariebut/status/1911925375040635152","138282392","sariebut"
"1911924262287589764","Mon Apr 14 23:27:20 +0000 2025","0","film jumbo ni bikin nangis bgt....baru mulai filmnya udh dibikin nangis anjir","1911924262287589764","","","in","jayy heart","0","0","0","https://x.com/061495_ay/status/1911924262287589764","1789860440954347520","061495_ay"
"1911736275305963594","Mon Apr 14 23:25:15 +0000 2025","0","@tanyakanrl koreksi dikit ntu ibu2 ngomongin tema bukan film Jumbo pake pesugihan. lagian apaansi ibu2 ini kan kartun anak2 emang imajinasi better than film gakjelas","1911923738154815967","","tanyakanrl","in","","0","0","0","https://x.com/kmbghtm/status/1911923738154815967","2944362584","kmbghtm"
"1911921157588353064","Mon Apr 14 23:15:00 +0000 2025","0","Belajar dari film Jumbo sahabat dan keluarga adalah harta yang sungguh tak ternilai besarnya. #Headline https://t.co/k1AI4RBAOc","1911921157588353064","","","in","Indonesia","0","0","0","https://x.com/kompasiana/status/1911921157588353064","23786106","kompasiana"
"1911875264231199187","Mon Apr 14 23:13:52 +0000 2025","60","@Adriandhy Oalah pantesan.. jujur aku ngerasa kelemahan jumbo itu terlalu crowded bnyk genre dimasukin ke satu film. Tapi I see ternyata ga asal pengen biar rame ga ngebosenin ada tujuannya gini","1911920873428435303","","Adriandhy","in","selective follow🙏","0","0","4","https://x.com/23ronjwin/status/1911920873428435303","886232347468627972","23ronjwin"
"1911736275305963594","Mon Apr 14 23:09:31 +0000 2025","539","@graciajane15 @tanyakanrl Jumbo emang disponsorin sama produk yg terafiliasi Zionis tapi kan ini produksi film dari 2020 terus kita gatau teken kontraknya kapan dan apa kesepakatan yg ada di dalamnya menurut aku tetap dukung Jumbo dengan menontonnya tapi ga usah tertarik sama produk yg ada di dalamnya","1911919776919851150","","graciajane15","in","Bandung","1","3","31","https://x.com/lalaayeyeyee/status/1911919776919851150","2501519946","lalaayeyeyee"
"1911601250090832077","Mon Apr 14 23:06:07 +0000 2025","0","@mestyariotedjo - krn ya emg anaknya mudah tersentuh. Beres nonton minta diulang terus ost Jumbo. Sampe skrg masih mempertanyakan 'hole' film yg sy juga susah jelasin hehehe.","1911918924448600212","","tigabelas0tiga","in","","0","0","0","https://x.com/tigabelas0tiga/status/1911918924448600212","1141354619450216448","tigabelas0tiga"
"1911773743254233274","Mon Apr 14 23:00:19 +0000 2025","0","@ikanatassa Di balik kesuksesan film Jumbo ada beberapa netizen di IG menghujat film ini dengan sebutan 'pesugihan' lah. Haduh padahal ini ada unsur supernatural fantasy yg family friendly gitu mbak :(","1911917461978619938","","ikanatassa","in","","0","0","0","https://x.com/nindya311/status/1911917461978619938","1377659507203923971","nindya311"
"1911916109768626395","Mon Apr 14 22:54:56 +0000 2025","969","Siap-siap JUMBO bakal melesat ke posisi kedua.","1911916109768626395","","","in","Indonesia","4","8","107","https://x.com/HabisNontonFilm/status/1911916109768626395","1083056591383875584","HabisNontonFilm"
"1911904058279076255","Mon Apr 14 22:49:23 +0000 2025","0","kemarin waktu ost film Jumbo rilis langsung speechless karna liriknya sederhana tp gatau kenapa malah bikin sedih bgt. kek relate bgt nih lagu sama kehidupan yg awiwok ini https://t.co/YMhwrSBUXv","1911914710993444905","https://pbs.twimg.com/media/Goh8TA3XwAA0AFG.jpg","macgazinne","in","","0","0","0","https://x.com/macgazinne/status/1911914710993444905","1132907011245465600","macgazinne"
"1911913804545572912","Mon Apr 14 22:45:47 +0000 2025","0","Terimakasih JUMBO yang lagi booming pasca lebaran 2025. Film ini menyapa kembali anak-anak dalam diri saya","1911913804545572912","","","in","","0","0","0","https://x.com/hositalaili/status/1911913804545572912","1144833047910424576","hositalaili"
"1911910235926908983","Mon Apr 14 22:31:36 +0000 2025","0","Sayang bgt dulu waktu aku kecil gak ada film animasi indonesia sekelas jumbo. Masa kecilku cuma diisi film kartun disney dan naruto.","1911910235926908983","","","in","Alam Gaib","0","0","0","https://x.com/bogisita/status/1911910235926908983","901309132258459649","bogisita"
"1911909926110413080","Mon Apr 14 22:30:22 +0000 2025","0","pgn nonton film jumbo pls","1911909926110413080","","","in","","0","0","0","https://x.com/miluvvv__/status/1911909926110413080","1876287814717067264","miluvvv__"
"1911908724769505305","Mon Apr 14 22:25:36 +0000 2025","1","aku gatau jelasin secara teoritikalnya gimana tapi kita semua jd seperti punya 'attachment' tersendiri dg film Jumbo rasanya kesuksesan film ini memang diharapkan banyak orang mungkin banyak yg bisa bikin film bagus tapi bangun hubungan yg sampe hati kaya gini ga semua bisa","1911908724769505305","","","in","Zurich, Switzerland","0","0","0","https://x.com/segerombol/status/1911908724769505305","1315257692198334466","segerombol"
"1911907525689286990","Mon Apr 14 22:20:50 +0000 2025","0","Buset! Giliran sama film Jumbo dan Dua Garis Biru si paling sok agamis kepanasan padahal banyak nilai pendidikan yang bagus. Trus apa kabar Sinetron Alay dan film Norma Antara Mertua &amp; Menantu yang jauh lebih banyak jeleknya tapi si paling sok agamis pada diem?! https://t.co/qLi2FjwU5Z","1911907525689286990","https://pbs.twimg.com/media/Goh1wuTWUAAw7O0.jpg","","in","","0","0","0","https://x.com/JanuarAnni63084/status/1911907525689286990","1649211953578127360","JanuarAnni63084"
"1911902862462038417","Mon Apr 14 22:02:18 +0000 2025","0","semua org boleh kok punya preferensi. tapi kalo bilang film anak-anak Jumbo gk realistis dan penuh mistis. anda gak pernah kecil apa gmn ya? gw yg blm jadi ortu aja tau kalo anak-anak itu harus dikenalkan dulu lewat fiksi buat mencerna makna kehidupan.","1911902862462038417","","","in","aku masih di sini, untuk setia","0","1","0","https://x.com/hujanyangturun_/status/1911902862462038417","710280429442441216","hujanyangturun_"
"1911433262863647174","Mon Apr 14 21:51:26 +0000 2025","0","@arieindienesia @cinepoint_ Up setuju kepo apakah memungkinkan untuk setidaknya jumbo bisa mengejar angka yang sama dengan agak laen atau kkn mengingat trend positif jumbo dan sedikitnya segmen film untuk semua umur seperti jumbo. Apa pr untuk bisa kekejar bisa dengan promosi gila-gilaan dari selebgram??","1911900129743032357","","arieindienesia","in","","0","0","0","https://x.com/akbaradid_/status/1911900129743032357","1614599569572245504","akbaradid_"
"1906547898961252439","Mon Apr 14 21:49:47 +0000 2025","0","[Hari 15#] Jadwal film Jumbo Senin (14/4): Mangkang 13:40 Java 11:00 11:45 13:15 14:00 14:30 15:30 16:15 17:45 18:30 19:00 20:00 20:45* Central City 12:20 14:20 16:20 18:20 20:20 Citra 12:20 14:20 16:20 18:20 20:20 DP 12:20 12:50 14:20 14:50 16:20 16:50 18:20 20:20 &gt;&gt;","1911899714548908262","","Kofindo","in","Semarang - Indonesia","0","1","2","https://x.com/Kofindo/status/1911899714548908262","551700617","Kofindo"
"1911833633436155960","Mon Apr 14 21:32:29 +0000 2025","1","@NaziraCNoer Dari 5 film yang mbak Nazira sebut baru nonton 1 (JUMBO) dan nanti mau nonton Pengepungan di Bukti Duri....","1911895356776104442","","NaziraCNoer","in","Pantai Bogor","1","0","0","https://x.com/gayunglopebocor/status/1911895356776104442","1819816640298766336","gayunglopebocor"
"1910620769291559286","Mon Apr 14 21:16:19 +0000 2025","0","@jumbofilm_id Ayo nonton bareng film JUMBO pasti bakal seru banget! Ajak keluarga dan teman-teman deh.","1911891290033406061","","jumbofilm_id","in","Jatim","0","0","0","https://x.com/ClarethaHiiman3/status/1911891290033406061","234041247","ClarethaHiiman3"
"1911888550393683995","Mon Apr 14 21:05:26 +0000 2025","0","apa yg bisa di tarik dari film jumbo cerita tidak akan jadi cerita kalau tidak ada yang mendengar tapi tau ga saking kamu mau di dengar terus kamu jadi tidak mau mendengar cerita orang alhasil jiwa egomu muncul dari hal itu jangan heran kalau kamu ga punya teman","1911888550393683995","","","in","","0","0","0","https://x.com/mflhun/status/1911888550393683995","1382946625090252805","mflhun"
"1911736275305963594","Mon Apr 14 18:55:42 +0000 2025","6","@gayunglopebocor @tanyakanrl Kalau Pendapatku seperti ini kak Soalnya dlm 5 tahun tentu ga gampang buat dpt investor sebenernya masyarakat kita nih terpaku sama hal hal yg negatif bukannya disupport tp dijatohkan. Jgn lupa film Nussa kmrn juga dibilang radikal radikul kapan majunyaa kita klo bgni trs","1911855902359265582","","gayunglopebocor","in","","0","0","0","https://x.com/galsforlyfe/status/1911855902359265582","1709214062574465024","galsforlyfe"
